State,Abbreviation,Age_adjusted_rate,Number_of_Deaths,Year
Alabama,AL,15.2,723,2014
Alaska,AK,16.8,124,2014
Arizona,AZ,18.2,1211,2014
Arkansas,AR,12.6,356,2014
California,CA,11.1,4521,2014
Colorado,CO,16.3,899,2014
Connecticut,CT,17.6,623,2014
Delaware,DE,20.9,189,2014
District Of Columbia,DC,14.2,96,2014
Florida,FL,13.2,2634,2014
Georgia,GA,11.9,1206,2014
Hawaii,HI,10.9,157,2014
Idaho,ID,13.7,212,2014
Illinois,IL,13.1,1705,2014
Indiana,IN,18.2,1172,2014
Iowa,IA,8.8,264,2014
Kansas,KS,11.7,332,2014
Kentucky,KY,24.7,1077,2014
Louisiana,LA,16.9,777,2014
Maine,ME,16.8,216,2014
Maryland,MD,17.4,1070,2014
Massachusetts,MA,19.0,1289,2014
Michigan,MI,18.0,1762,2014
Minnesota,MN,9.6,517,2014
Mississippi,MS,11.6,336,2014
Missouri,MO,18.2,1067,2014
Montana,MT,12.4,125,2014
Nebraska,NE,7.2,125,2014
Nevada,NV,18.4,545,2014
New Hampshire,NH,26.2,334,2014
New Jersey,NJ,14.0,1253,2014
New Mexico,NM,27.3,547,2014
New York,NY,11.3,2300,2014
North Carolina,NC,13.8,1358,2014
North Dakota,ND,6.3,43,2014
Ohio,OH,24.6,2744,2014
Oklahoma,OK,20.3,777,2014
Oregon,OR,12.8,522,2014
Pennsylvania,PA,21.9,2732,2014
Rhode Island,RI,23.4,247,2014
South Carolina,SC,14.4,701,2014
South Dakota,SD,7.8,63,2014
Tennessee,TN,19.5,1269,2014
Texas,TX,9.7,2601,2014
Utah,UT,22.4,603,2014
Vermont,VT,13.9,83,2014
Virginia,VA,11.7,980,2014
Washington,WA,13.3,979,2014
West Virginia,WV,35.5,627,2014
Wisconsin,WI,15.1,853,2014
Wyoming,WY,19.4,109,2014
