State,Abbreviation,Age_adjusted_rate,Number_of_Deaths,Year
Alabama,AL,22.3,1029,2020
Alaska,AK,22.0,160,2020
Arizona,AZ,35.8,2550,2020
Arkansas,AR,19.1,546,2020
California,CA,21.8,8908,2020
Colorado,CO,24.9,1492,2020
Connecticut,CT,39.1,1371,2020
Delaware,DE,47.3,444,2020
District Of Columbia,DC,58.1,424,2020
Florida,FL,35.0,7231,2020
Georgia,GA,18.0,1916,2020
Hawaii,HI,18.3,274,2020
Idaho,ID,15.9,287,2020
Illinois,IL,28.1,3549,2020
Indiana,IN,36.7,2321,2020
Iowa,IA,14.3,432,2020
Kansas,KS,17.4,490,2020
Kentucky,KY,49.2,2083,2020
Louisiana,LA,42.7,1896,2020
Maine,ME,39.7,496,2020
Maryland,MD,44.6,2771,2020
Massachusetts,MA,33.9,2302,2020
Michigan,MI,28.6,2759,2020
Minnesota,MN,19.0,1050,2020
Mississippi,MS,21.1,586,2020
Missouri,MO,32.1,1875,2020
Montana,MT,15.6,162,2020
Nebraska,NE,11.3,214,2020
Nevada,NV,26.0,832,2020
New Hampshire,NH,30.3,393,2020
New Jersey,NJ,32.1,2840,2020
New Mexico,NM,39.0,784,2020
New York,NY,25.4,4965,2020
North Carolina,NC,30.9,3146,2020
North Dakota,ND,15.6,114,2020
Ohio,OH,47.2,5204,2020
Oklahoma,OK,19.4,762,2020
Oregon,OR,18.7,803,2020
Pennsylvania,PA,42.4,5168,2020
Rhode Island,RI,38.2,397,2020
South Carolina,SC,34.9,1739,2020
South Dakota,SD,10.3,83,2020
Tennessee,TN,45.6,3034,2020
Texas,TX,14.1,4172,2020
Utah,UT,20.5,622,2020
Vermont,VT,32.9,190,2020
Virginia,VA,26.6,2240,2020
Washington,WA,22.0,1733,2020
West Virginia,WV,81.4,1330,2020
Wisconsin,WI,27.7,1531,2020
Wyoming,WY,17.4,99,2020
