State,Abbreviation,Age_adjusted_rate,Number_of_Deaths,Year
Alabama,AL,16.2,756,2016
Alaska,AK,16.8,128,2016
Arizona,AZ,20.3,1382,2016
Arkansas,AR,14.0,401,2016
California,CA,11.2,4654,2016
Colorado,CO,16.6,942,2016
Connecticut,CT,27.4,971,2016
Delaware,DE,30.8,282,2016
District Of Columbia,DC,38.8,269,2016
Florida,FL,23.7,4728,2016
Georgia,GA,13.3,1394,2016
Hawaii,HI,12.8,191,2016
Idaho,ID,15.2,243,2016
Illinois,IL,18.9,2411,2016
Indiana,IN,24.0,1526,2016
Iowa,IA,10.6,314,2016
Kansas,KS,11.1,313,2016
Kentucky,KY,33.5,1419,2016
Louisiana,LA,21.8,996,2016
Maine,ME,28.7,353,2016
Maryland,MD,33.2,2044,2016
Massachusetts,MA,33.0,2227,2016
Michigan,MI,24.4,2347,2016
Minnesota,MN,12.5,672,2016
Mississippi,MS,12.1,352,2016
Missouri,MO,23.6,1371,2016
Montana,MT,11.7,119,2016
Nebraska,NE,6.4,120,2016
Nevada,NV,21.7,665,2016
New Hampshire,NH,39.0,481,2016
New Jersey,NJ,23.2,2056,2016
New Mexico,NM,25.2,500,2016
New York,NY,18.0,3638,2016
North Carolina,NC,19.7,1956,2016
North Dakota,ND,10.6,77,2016
Ohio,OH,39.1,4329,2016
Oklahoma,OK,21.5,813,2016
Oregon,OR,11.9,506,2016
Pennsylvania,PA,37.9,4627,2016
Rhode Island,RI,30.8,326,2016
South Carolina,SC,18.1,879,2016
South Dakota,SD,8.4,69,2016
Tennessee,TN,24.5,1630,2016
Texas,TX,10.1,2831,2016
Utah,UT,22.4,635,2016
Vermont,VT,22.2,125,2016
Virginia,VA,16.7,1405,2016
Washington,WA,14.5,1102,2016
West Virginia,WV,52.0,884,2016
Wisconsin,WI,19.3,1074,2016
Wyoming,WY,17.6,99,2016
