State,Abbreviation,Age_adjusted_rate,Number_of_Deaths,Year
Alabama,AL,16.3,768,2019
Alaska,AK,17.8,132,2019
Arizona,AZ,26.8,1907,2019
Arkansas,AR,13.5,388,2019
California,CA,15.0,6198,2019
Colorado,CO,18.0,1079,2019
Connecticut,CT,34.7,1214,2019
Delaware,DE,48.0,435,2019
District Of Columbia,DC,43.2,311,2019
Florida,FL,25.5,5268,2019
Georgia,GA,13.1,1408,2019
Hawaii,HI,15.9,242,2019
Idaho,ID,15.1,265,2019
Illinois,IL,21.9,2790,2019
Indiana,IN,26.6,1699,2019
Iowa,IA,11.5,352,2019
Kansas,KS,14.3,403,2019
Kentucky,KY,32.5,1380,2019
Louisiana,LA,28.3,1267,2019
Maine,ME,29.9,371,2019
Maryland,MD,38.2,2369,2019
Massachusetts,MA,32.1,2210,2019
Michigan,MI,24.4,2385,2019
Minnesota,MN,14.2,792,2019
Mississippi,MS,13.6,394,2019
Missouri,MO,26.9,1583,2019
Montana,MT,14.1,143,2019
Nebraska,NE,8.7,161,2019
Nevada,NV,20.1,647,2019
New Hampshire,NH,32.0,407,2019
New Jersey,NJ,31.7,2805,2019
New Mexico,NM,30.2,599,2019
New York,NY,18.2,3617,2019
North Carolina,NC,22.3,2266,2019
North Dakota,ND,11.4,82,2019
Ohio,OH,38.3,4251,2019
Oklahoma,OK,16.7,645,2019
Oregon,OR,14.0,615,2019
Pennsylvania,PA,35.6,4377,2019
Rhode Island,RI,29.5,307,2019
South Carolina,SC,22.7,1127,2019
South Dakota,SD,10.5,86,2019
Tennessee,TN,31.2,2089,2019
Texas,TX,10.8,3136,2019
Utah,UT,18.9,571,2019
Vermont,VT,23.8,133,2019
Virginia,VA,18.3,1547,2019
Washington,WA,15.8,1259,2019
West Virginia,WV,52.8,870,2019
Wisconsin,WI,21.1,1201,2019
Wyoming,WY,14.1,79,2019
