State,Abbreviation,Age_adjusted_rate,Number_of_Deaths,Year
Alabama,AL,16.6,775,2018
Alaska,AK,14.6,110,2018
Arizona,AZ,23.8,1670,2018
Arkansas,AR,15.7,444,2018
California,CA,12.8,5348,2018
Colorado,CO,16.8,995,2018
Connecticut,CT,30.7,1069,2018
Delaware,DE,43.8,401,2018
District Of Columbia,DC,35.4,254,2018
Florida,FL,22.8,4698,2018
Georgia,GA,13.2,1404,2018
Hawaii,HI,14.3,213,2018
Idaho,ID,14.6,250,2018
Illinois,IL,21.3,2722,2018
Indiana,IN,25.6,1629,2018
Iowa,IA,9.6,287,2018
Kansas,KS,12.4,345,2018
Kentucky,KY,30.9,1315,2018
Louisiana,LA,25.4,1140,2018
Maine,ME,27.9,345,2018
Maryland,MD,37.2,2324,2018
Massachusetts,MA,32.8,2241,2018
Michigan,MI,26.6,2591,2018
Minnesota,MN,11.5,636,2018
Mississippi,MS,10.8,310,2018
Missouri,MO,27.5,1610,2018
Montana,MT,12.2,125,2018
Nebraska,NE,7.4,138,2018
Nevada,NV,21.2,688,2018
New Hampshire,NH,35.8,452,2018
New Jersey,NJ,33.1,2900,2018
New Mexico,NM,26.7,537,2018
New York,NY,18.4,3697,2018
North Carolina,NC,22.4,2259,2018
North Dakota,ND,10.2,70,2018
Ohio,OH,35.9,3980,2018
Oklahoma,OK,18.4,716,2018
Oregon,OR,12.6,547,2018
Pennsylvania,PA,36.1,4415,2018
Rhode Island,RI,30.1,317,2018
South Carolina,SC,22.6,1125,2018
South Dakota,SD,6.9,57,2018
Tennessee,TN,27.5,1823,2018
Texas,TX,10.4,3005,2018
Utah,UT,21.2,624,2018
Vermont,VT,26.6,153,2018
Virginia,VA,17.1,1448,2018
Washington,WA,14.8,1164,2018
West Virginia,WV,51.5,856,2018
Wisconsin,WI,19.2,1079,2018
Wyoming,WY,11.1,66,2018
