State,State Abbreviation,Opioid Dispensing Rate per 100,Year
Alabama,AL,125.0,2015
Alaska,AK,60.8,2015
Arizona,AZ,75.5,2015
Arkansas,AR,117.2,2015
California,CA,47.7,2015
Colorado,CO,65.1,2015
Connecticut,CT,62.3,2015
Delaware,DE,84.4,2015
District of Columbia,DC,35.7,2015
Florida,FL,67.1,2015
Georgia,GA,79.4,2015
Hawaii,HI,44.3,2015
Idaho,ID,81.9,2015
Illinois,IL,59.1,2015
Indiana,IN,89.1,2015
Iowa,IA,68.6,2015
Kansas,KS,80.5,2015
Kentucky,KY,102.6,2015
Louisiana,LA,100.4,2015
Maine,ME,76.5,2015
Maryland,MD,63.0,2015
Massachusetts,MA,54.0,2015
Michigan,MI,90.5,2015
Minnesota,MN,52.1,2015
Mississippi,MS,110.9,2015
Missouri,MO,84.5,2015
Montana,MT,73.3,2015
Nebraska,NE,65.5,2015
Nevada,NV,85.4,2015
New Hampshire,NH,74.8,2015
New Jersey,NJ,56.0,2015
New Mexico,NM,69.8,2015
New York,NY,45.1,2015
North Carolina,NC,88.4,2015
North Dakota,ND,53.0,2015
Ohio,OH,82.7,2015
Oklahoma,OK,104.4,2015
Oregon,OR,84.2,2015
Pennsylvania,PA,75.5,2015
Rhode Island,RI,65.7,2015
South Carolina,SC,95.1,2015
South Dakota,SD,59.1,2015
Tennessee,TN,114.9,2015
Texas,TX,59.8,2015
Utah,UT,74.4,2015
Vermont,VT,60.1,2015
Virginia,VA,68.1,2015
Washington,WA,69.8,2015
West Virginia,WV,111.3,2015
Wisconsin,WI,67.5,2015
Wyoming,WY,75.4,2015
