State,State Abbreviation,Opioid Dispensing Rate per 100,Year
Alabama,AL,121.0,2016
Alaska,AK,58.9,2016
Arizona,AZ,70.2,2016
Arkansas,AR,114.6,2016
California,CA,44.8,2016
Colorado,CO,59.8,2016
Connecticut,CT,55.9,2016
Delaware,DE,79.2,2016
District of Columbia,DC,32.5,2016
Florida,FL,66.6,2016
Georgia,GA,77.8,2016
Hawaii,HI,41.9,2016
Idaho,ID,77.6,2016
Illinois,IL,56.8,2016
Indiana,IN,83.9,2016
Iowa,IA,64.0,2016
Kansas,KS,76.9,2016
Kentucky,KY,97.2,2016
Louisiana,LA,98.1,2016
Maine,ME,66.9,2016
Maryland,MD,58.7,2016
Massachusetts,MA,47.1,2016
Michigan,MI,84.9,2016
Minnesota,MN,46.9,2016
Mississippi,MS,105.6,2016
Missouri,MO,80.4,2016
Montana,MT,69.8,2016
Nebraska,NE,62.8,2016
Nevada,NV,80.7,2016
New Hampshire,NH,64.3,2016
New Jersey,NJ,52.6,2016
New Mexico,NM,65.1,2016
New York,NY,42.7,2016
North Carolina,NC,82.5,2016
North Dakota,ND,47.8,2016
Ohio,OH,75.3,2016
Oklahoma,OK,97.9,2016
Oregon,OR,76.3,2016
Pennsylvania,PA,69.5,2016
Rhode Island,RI,60.3,2016
South Carolina,SC,89.4,2016
South Dakota,SD,54.8,2016
Tennessee,TN,107.5,2016
Texas,TX,57.6,2016
Utah,UT,70.4,2016
Vermont,VT,58.6,2016
Virginia,VA,63.4,2016
Washington,WA,64.9,2016
West Virginia,WV,96.0,2016
Wisconsin,WI,62.2,2016
Wyoming,WY,71.1,2016
