State,Abbreviation,Opioid Dispensing Rate per 100,Year
United States,US,51.4,2018
Alaska,AK,44.9,2018
Alabama,AL,97.5,2018
Arkansas,AR,93.5,2018
Arizona,AZ,50.7,2018
California,CA,35.1,2018
Colorado,CO,45.1,2018
Connecticut,CT,43.0,2018
District of Columbia,DC,25.0,2018
Delaware,DE,60.6,2018
Florida,FL,53.7,2018
Georgia,GA,63.2,2018
Hawaii,HI,33.4,2018
Iowa,IA,49.3,2018
Idaho,ID,61.9,2018
Illinois,IL,45.2,2018
Indiana,IN,65.8,2018
Kansas,KS,64.3,2018
Kentucky,KY,79.5,2018
Louisiana,LA,79.4,2018
Massachusetts,MA,35.3,2018
Maryland,MD,45.1,2018
Maine,ME,48.1,2018
Michigan,MI,62.7,2018
Minnesota,MN,35.5,2018
Missouri,MO,63.4,2018
Mississippi,MS,76.8,2018
Montana,MT,54.0,2018
North Carolina,NC,61.5,2018
North Dakota,ND,37.4,2018
Nebraska,NE,50.6,2018
New Hampshire,NH,46.1,2018
New Jersey,NJ,38.9,2018
New Mexico,NM,49.4,2018
Nevada,NV,55.5,2018
New York,NY,34.0,2018
Ohio,OH,53.5,2018
Oklahoma,OK,79.1,2018
Oregon,OR,57.3,2018
Pennsylvania,PA,49.9,2018
Rhode Island,RI,43.0,2018
South Carolina,SC,69.2,2018
South Dakota,SD,42.6,2018
Tennessee,TN,81.8,2018
Texas,TX,47.2,2018
Utah,UT,57.1,2018
Virginia,VA,44.8,2018
Vermont,VT,42.4,2018
Washington,WA,49.3,2018
Wisconsin,WI,45.8,2018
West Virginia,WV,69.3,2018
Wyoming,WY,57.1,2018
