State,State Abbreviation,Opioid Dispensing Rate per 100,Year
Alabama,AL,135.2,2014
Alaska,AK,62.7,2014
Arizona,AZ,79.7,2014
Arkansas,AR,123.2,2014
California,CA,52.7,2014
Colorado,CO,69.6,2014
Connecticut,CT,66.0,2014
Delaware,DE,91.0,2014
District of Columbia,DC,40.1,2014
Florida,FL,71.4,2014
Georgia,GA,83.8,2014
Hawaii,HI,47.7,2014
Idaho,ID,87.4,2014
Illinois,IL,62.3,2014
Indiana,IN,96.7,2014
Iowa,IA,72.3,2014
Kansas,KS,86.5,2014
Kentucky,KY,110.0,2014
Louisiana,LA,108.9,2014
Maine,ME,82.4,2014
Maryland,MD,67.6,2014
Massachusetts,MA,59.6,2014
Michigan,MI,98.0,2014
Minnesota,MN,56.6,2014
Mississippi,MS,116.3,2014
Missouri,MO,90.7,2014
Montana,MT,80.1,2014
Nebraska,NE,70.1,2014
Nevada,NV,90.1,2014
New Hampshire,NH,79.6,2014
New Jersey,NJ,57.2,2014
New Mexico,NM,71.5,2014
New York,NY,43.9,2014
North Carolina,NC,93.7,2014
North Dakota,ND,58.1,2014
Ohio,OH,89.5,2014
Oklahoma,OK,110.9,2014
Oregon,OR,91.9,2014
Pennsylvania,PA,79.9,2014
Rhode Island,RI,72.8,2014
South Carolina,SC,101.3,2014
South Dakota,SD,61.7,2014
Tennessee,TN,121.3,2014
Texas,TX,67.0,2014
Utah,UT,78.8,2014
Vermont,VT,50.4,2014
Virginia,VA,73.5,2014
Washington,WA,74.2,2014
West Virginia,WV,126.4,2014
Wisconsin,WI,71.9,2014
Wyoming,WY,80.9,2014
